,sid,year,Cause Name,state,deaths
0,row-4ziw_fype-q93g,2017,Unintentional injuries,United States,169936
1,row-mf82_5qce.78c2,2017,Unintentional injuries,Alabama,2703
2,row-7frh~9yb6-q2q4,2017,Unintentional injuries,Alaska,436
3,row-urf6.ayyb~8p5q,2017,Unintentional injuries,Arizona,4184
4,row-74k2-qi6f~77p7,2017,Unintentional injuries,Arkansas,1625
5,row-f3f9-wrca~275n,2017,Unintentional injuries,California,13840
6,row-irx4.579t.ueij,2017,Unintentional injuries,Colorado,3037
7,row-erq8~jfjq.ri3b,2017,Unintentional injuries,Connecticut,2078
8,row-qwdh.rctw.wn3a,2017,Unintentional injuries,Delaware,608
9,row-6878_8kbn.ipdq,2017,Unintentional injuries,District of Columbia,427
10,row-r9dv~t6xk~u6nt,2017,Unintentional injuries,Florida,13059
11,row-zbqh.3znc_5c6k,2017,Unintentional injuries,Georgia,4712
12,row-y4a3-v2c9-nzut,2017,Unintentional injuries,Hawaii,585
13,row-birs-4r32~5drb,2017,Unintentional injuries,Idaho,876
14,row-av9u.w3r5-syj7,2017,Unintentional injuries,Illinois,6019
15,row-wp4t-b5e7.mhi5,2017,Unintentional injuries,Indiana,3978
16,row-94ff.9zqd.4cwj,2017,Unintentional injuries,Iowa,1536
17,row-mk6m-cy82.k22i,2017,Unintentional injuries,Kansas,1567
18,row-8td9-ity7~qkzf,2017,Unintentional injuries,Kentucky,3264
19,row-vezn.bmtt.vc2b,2017,Unintentional injuries,Louisiana,2780
20,row-wms4-he24.mrbd,2017,Unintentional injuries,Maine,990
21,row-qdpz_r6q4-itt5,2017,Unintentional injuries,Maryland,2408
22,row-j3sz_275a.273v,2017,Unintentional injuries,Massachusetts,3821
23,row-qxij_q9w4_h9hh,2017,Unintentional injuries,Michigan,5623
24,row-irev-g54b-934w,2017,Unintentional injuries,Minnesota,2788
25,row-t4h9.5t6r_6jq6,2017,Unintentional injuries,Mississippi,1738
26,row-3k84~qk8e.yrah,2017,Unintentional injuries,Missouri,3776
27,row-a32i.kngz.zvhg,2017,Unintentional injuries,Montana,579
28,row-8t37.7xih~3dyg,2017,Unintentional injuries,Nebraska,811
29,row-mcvh.jjd2.sikf,2017,Unintentional injuries,Nevada,1496
30,row-e2vs.fc4c.uci3,2017,Unintentional injuries,New Hampshire,907
31,row-5r26_vk56~3aqh,2017,Unintentional injuries,New Jersey,4482
32,row-p32u_ekbv_yhz3,2017,Unintentional injuries,New Mexico,1460
33,row-vxrp-3f8r-cpqi,2017,Unintentional injuries,New York,7687
34,row-z6mv.hyrz_tw3i,2017,Unintentional injuries,North Carolina,5985
35,row-dvif-u8mi~2xtc,2017,Unintentional injuries,North Dakota,339
36,row-gfbj_vnmh~4whj,2017,Unintentional injuries,Ohio,8971
37,row-as2y-8pzz_rr79,2017,Unintentional injuries,Oklahoma,2563
38,row-rtyu.vsm4_c5ae,2017,Unintentional injuries,Oregon,2076
39,row-fypb-ddir_ycvp,2017,Unintentional injuries,Pennsylvania,9527
40,row-4ek9.8eix.3f95,2017,Unintentional injuries,Rhode Island,718
41,row-x7hn.kp59-5inu,2017,Unintentional injuries,South Carolina,3147
42,row-8ztd_vivq~skge,2017,Unintentional injuries,South Dakota,537
43,row-w8wv.sa53-57hz,2017,Unintentional injuries,Tennessee,4435
44,row-br8s.crjw.67sr,2017,Unintentional injuries,Texas,10763
45,row-a6p9_zmtr.c7gf,2017,Unintentional injuries,Utah,1238
46,row-4jrn_k4wc~n283,2017,Unintentional injuries,Vermont,394
47,row-4etm-a5ck~sdge,2017,Unintentional injuries,Virginia,3922
48,row-4gyu-3f9h~gbtd,2017,Unintentional injuries,Washington,3455
49,row-qwq9~4aii.3fgc,2017,Unintentional injuries,West Virginia,1892
50,row-8gpz_uqii~srgw,2017,Unintentional injuries,Wisconsin,3746
51,row-vzw6.a4nk_jhbu,2017,Unintentional injuries,Wyoming,348
52,row-3fid_3keh-2n5c,2017,All causes,United States,2813503
53,row-q9nz-hbji_gwen,2017,All causes,Alabama,53238
54,row-bswp_dhrz-6f5c,2017,All causes,Alaska,4411
55,row-2289~vmhq~cvqu,2017,All causes,Arizona,57758
56,row-rkp3~bzbz-g4cc,2017,All causes,Arkansas,32588
57,row-vg8k_d9sb_q89i,2017,All causes,California,268189
58,row-b6i5-y2w9_daat,2017,All causes,Colorado,38063
59,row-a9uj_3e4z_su9s,2017,All causes,Connecticut,31312
60,row-hit9~99mv.zf4e,2017,All causes,Delaware,9178
61,row-pkyn_rsjp-fkk3,2017,All causes,District of Columbia,4965
62,row-u4aj~eb7y~vwrx,2017,All causes,Florida,203636
63,row-n6ma_k585.ssiz,2017,All causes,Georgia,83098
64,row-zibd-w3q7-ybk5,2017,All causes,Hawaii,11390
65,row-y8ex_s2uh~fkv9,2017,All causes,Idaho,14011
66,row-n52z.tpnc.uqbd,2017,All causes,Illinois,109721
67,row-qhyu~huks-pzis,2017,All causes,Indiana,65597
68,row-35xq~6qke.ftzt,2017,All causes,Iowa,30530
69,row-6ieh_8u2p.d27m,2017,All causes,Kansas,27063
70,row-89fr-y4id_bzde,2017,All causes,Kentucky,48212
71,row-pft5_u2t5-afv7,2017,All causes,Louisiana,45804
72,row-npyt~3nj6.8q4c,2017,All causes,Maine,14676
73,row-24xc~6k6b~v3zc,2017,All causes,Maryland,49926
74,row-znqe_82kn.z8mu,2017,All causes,Massachusetts,58803
75,row-7mj3~m5s4~jbph,2017,All causes,Michigan,97602
76,row-xjd8~zdh7.h66m,2017,All causes,Minnesota,44371
77,row-qbg4~udze~ww2i,2017,All causes,Mississippi,32280
78,row-wh4n-cg9t-6k93,2017,All causes,Missouri,61876
79,row-6k4c-yrrq.e3r5,2017,All causes,Montana,10200
80,row-7975~xgnt.mwsj,2017,All causes,Nebraska,16878
81,row-cmxj~n7qg~hzbv,2017,All causes,Nevada,24657
82,row-jwzq_8qjq_pes7,2017,All causes,New Hampshire,12504
83,row-ea5h.ttyq-e2jh,2017,All causes,New Jersey,74846
84,row-zcdm.jzev~jppj,2017,All causes,New Mexico,18673
85,row-r6py_y5qr_253z,2017,All causes,New York,155358
86,row-qycj_2bk8.ubbw,2017,All causes,North Carolina,93157
87,row-aepe_cx4y~bfar,2017,All causes,North Dakota,6415
88,row-ui35_raag_a7jd,2017,All causes,Ohio,123648
89,row-6grm-wz6e_2xgd,2017,All causes,Oklahoma,40452
90,row-7n52~8yvr_ajnu,2017,All causes,Oregon,36624
91,row-pqar~v7e9~yu7n,2017,All causes,Pennsylvania,135656
92,row-97xi~q8ff.8t28,2017,All causes,Rhode Island,10157
93,row-esw2.9i2c.fn3y,2017,All causes,South Carolina,49441
94,row-qjne_5ks2-gwzw,2017,All causes,South Dakota,7996
95,row-bnn2-e28u_sua6,2017,All causes,Tennessee,70096
96,row-wkp7~g3x9-p9cc,2017,All causes,Texas,198106
97,row-ew2i.v77m_4d84,2017,All causes,Utah,18035
98,row-mbem.vgc4_f2hr,2017,All causes,Vermont,6007
99,row-rxua~rtii_y9r3,2017,All causes,Virginia,68579
100,row-wb7a-tjd7~v9ba,2017,All causes,Washington,56995
101,row-vags~udjj~3che,2017,All causes,West Virginia,23276
102,row-eind.k4u3.adrk,2017,All causes,Wisconsin,52681
103,row-27w8.efaq~6e4q,2017,All causes,Wyoming,4768
104,row-up5p-c8c6~b6uh,2017,Alzheimer's disease,United States,121404
105,row-9bix-zvey_e7ua,2017,Alzheimer's disease,Alabama,2563
106,row-2uau.fhsd-95s2,2017,Alzheimer's disease,Alaska,98
107,row-zvpx.hfs8-9wqm,2017,Alzheimer's disease,Arizona,3058
108,row-3r6y~7wnw-6kws,2017,Alzheimer's disease,Arkansas,1436
109,row-i43z_rpji-uzgv,2017,Alzheimer's disease,California,16238
110,row-gmc8~pzyd-8txk,2017,Alzheimer's disease,Colorado,1830
111,row-jr74~tiij_qxxi,2017,Alzheimer's disease,Connecticut,1077
112,row-w8ac-7mmj.3rr6,2017,Alzheimer's disease,Delaware,377
113,row-3fen.rf6e-azbk,2017,Alzheimer's disease,District of Columbia,125
114,row-eu6s~ch2t-uuq4,2017,Alzheimer's disease,Florida,6980
115,row-k7jc_cuyv-pj8u,2017,Alzheimer's disease,Georgia,4290
116,row-qguu.zjkk_fjh2,2017,Alzheimer's disease,Hawaii,465
117,row-zvrq-yu4a_fstj,2017,Alzheimer's disease,Idaho,672
118,row-bn4c-wv6r_d8d9,2017,Alzheimer's disease,Illinois,4021
119,row-a6qa_tjbu.k974,2017,Alzheimer's disease,Indiana,2771
120,row-cywf-75eu~355t,2017,Alzheimer's disease,Iowa,1597
121,row-5umr-gimj.49fi,2017,Alzheimer's disease,Kansas,894
122,row-jfvv.pskq_muuu,2017,Alzheimer's disease,Kentucky,1765
123,row-7zmk-b27c.a5pg,2017,Alzheimer's disease,Louisiana,2188
124,row-h8mv_uf2v~svdg,2017,Alzheimer's disease,Maine,601
125,row-pj8p-7it8_z9jn,2017,Alzheimer's disease,Maryland,1191
126,row-cipx~yp83.jhj6,2017,Alzheimer's disease,Massachusetts,1841
127,row-424q_7k5k_wzzw,2017,Alzheimer's disease,Michigan,4428
128,row-q7sv.cdxb_svgt,2017,Alzheimer's disease,Minnesota,2474
129,row-b4w2~je39_v5pc,2017,Alzheimer's disease,Mississippi,1626
130,row-fecw_66tj_7rmh,2017,Alzheimer's disease,Missouri,2545
131,row-h69q.mdbv.f3w8,2017,Alzheimer's disease,Montana,285
132,row-y2du_p4bc_htcm,2017,Alzheimer's disease,Nebraska,698
133,row-pgg3~7w4e-ctsq,2017,Alzheimer's disease,Nevada,779
134,row-6cdb-er2v-wh75,2017,Alzheimer's disease,New Hampshire,436
135,row-tamf-b6xx~hn99,2017,Alzheimer's disease,New Jersey,2829
136,row-4xsf~uiyr-9g36,2017,Alzheimer's disease,New Mexico,572
137,row-h4qq~b75v.2gqc,2017,Alzheimer's disease,New York,3521
138,row-aa3h-kehk-qvwy,2017,Alzheimer's disease,North Carolina,4289
139,row-gv7a-pn3u-esps,2017,Alzheimer's disease,North Dakota,387
140,row-2nyt~ubwk.7dn5,2017,Alzheimer's disease,Ohio,5117
141,row-24cu~ad8d.9c3m,2017,Alzheimer's disease,Oklahoma,1752
142,row-wrtj~n99m.9xzb,2017,Alzheimer's disease,Oregon,1850
143,row-vuta-j8e2-dkws,2017,Alzheimer's disease,Pennsylvania,4213
144,row-ir2c~6796.ipj5,2017,Alzheimer's disease,Rhode Island,435
145,row-v8uh_ct8a_8y8d,2017,Alzheimer's disease,South Carolina,2549
146,row-8iq9.pfmh_8b4a,2017,Alzheimer's disease,South Dakota,444
147,row-3w7h~kscv.x7yp,2017,Alzheimer's disease,Tennessee,3522
148,row-4cjt.mjby_9e6b,2017,Alzheimer's disease,Texas,9545
149,row-wcnd~ck5a-23xj,2017,Alzheimer's disease,Utah,991
150,row-ni5a-2587~tf7c,2017,Alzheimer's disease,Vermont,370
151,row-w5vu.yp7s.q2dr,2017,Alzheimer's disease,Virginia,2549
152,row-d25e-abp6_h59f,2017,Alzheimer's disease,Washington,3710
153,row-r7ch-dfad~w46y,2017,Alzheimer's disease,West Virginia,770
154,row-smm4.cna2.uah6,2017,Alzheimer's disease,Wisconsin,2428
155,row-gmnb_is8e.razi,2017,Alzheimer's disease,Wyoming,212
156,row-xz5b.rfcj-9w5c,2017,Stroke,United States,146383
157,row-e5fn-tbud_924m,2017,Stroke,Alabama,2931
158,row-tpmg-4dqr-acxm,2017,Stroke,Alaska,190
159,row-g2eg~crcs_vjn6,2017,Stroke,Arizona,2681
160,row-8gsa_6pmj~4wpq,2017,Stroke,Arkansas,1612
161,row-infh-ht2q_7rve,2017,Stroke,California,16355
162,row-p2pg~7xhc~7u57,2017,Stroke,Colorado,1988
163,row-d59h_tpsn_2pzg,2017,Stroke,Connecticut,1403
164,row-5nmz-cepd.v5wn,2017,Stroke,Delaware,571
165,row-3ppf_7ikd-f28k,2017,Stroke,District of Columbia,246
166,row-gkrk_qmtr.f664,2017,Stroke,Florida,12602
167,row-hk6y.a66f-a5vg,2017,Stroke,Georgia,4399
168,row-8ent.gwjx~zx6b,2017,Stroke,Hawaii,764
169,row-5esq_nexu_cbap,2017,Stroke,Idaho,726
170,row-uqyy_cj67.y4y8,2017,Stroke,Illinois,6020
171,row-qxaa_2ukd-j7zx,2017,Stroke,Indiana,3150
172,row-y9gq.t55g.m7wk,2017,Stroke,Iowa,1416
173,row-d3jv~7cd7~kwdd,2017,Stroke,Kansas,1355
174,row-qdg3_fsrq-5nqe,2017,Stroke,Kentucky,2050
175,row-u23z.avd9~gwjs,2017,Stroke,Louisiana,2460
176,row-x9xp~j854-s3tx,2017,Stroke,Maine,736
177,row-bapv_9zpj~pfak,2017,Stroke,Maryland,2820
178,row-uwi6_rd7d.3ekk,2017,Stroke,Massachusetts,2367
179,row-pmwa.epfx~uikh,2017,Stroke,Michigan,5002
180,row-7vi2.f3ph.k6zj,2017,Stroke,Minnesota,2250
181,row-7xy5~i587.avrh,2017,Stroke,Mississippi,1723
182,row-23wh_rsc3_idng,2017,Stroke,Missouri,3159
183,row-37vx.pg8k.6u47,2017,Stroke,Montana,487
184,row-xudw-duj6~67h3,2017,Stroke,Nebraska,760
185,row-dncf_npgb~y5xp,2017,Stroke,Nevada,1137
186,row-uxn7~fxtf-bj2c,2017,Stroke,New Hampshire,514
187,row-3utb_z8up~acqf,2017,Stroke,New Jersey,3474
188,row-fun2_bu3w_qwse,2017,Stroke,New Mexico,878
189,row-d4t2_mdr5_nbnc,2017,Stroke,New York,6264
190,row-h6yy~d5nr-82ti,2017,Stroke,North Carolina,5098
191,row-nnst.y7b8~m9bq,2017,Stroke,North Dakota,337
192,row-2vye_eh54.y9fx,2017,Stroke,Ohio,6425
193,row-4iqc.nbf9.e7fk,2017,Stroke,Oklahoma,1947
194,row-9un3.wxp2~3r3z,2017,Stroke,Oregon,2066
195,row-qi6m~3yw5-eidr,2017,Stroke,Pennsylvania,6700
196,row-64ej~5pgb~wquw,2017,Stroke,Rhode Island,425
197,row-mng4.zm38-fsk6,2017,Stroke,South Carolina,2691
198,row-5ace~t6ak~3fgv,2017,Stroke,South Dakota,414
